text,label
What is the population of Paris?,simple
What is the capital of Germany?,simple
Hi there,simple
Hi there,simple
What is cloud computing?,simple
When was Guido van Rossum born?,simple
Say hello in Spanish,simple
How are you?,simple
What time is it in Sydney?,simple
How do I install a database?,simple
Hello,simple
Hi there,simple
What is your name?,simple
Translate 'hot' to French,simple
How are you?,simple
Hello,simple
What color is the sky?,simple
What is the population of Sydney?,simple
Hi there,simple
Tell me a joke,simple
What is 2 + 2?,simple
Good morning,simple
How old is Albert Einstein?,simple
What is the opposite of fast?,simple
What color is the sky?,simple
How tall is the Great Wall of China?,simple
Good morning,simple
What is OAuth 2.0?,simple
What is the opposite of happy?,simple
Define recursion,simple
What year was World War II?,simple
Who wrote Pride and Prejudice?,simple
Translate 'strong' to French,simple
How old is Albert Einstein?,simple
Where is the Great Barrier Reef located?,simple
How are you?,simple
Define microservices,simple
What time is it in Mumbai?,simple
What day is it today?,simple
What is the population of São Paulo?,simple
What is 2 + 2?,simple
Hello,simple
What color is the sky?,simple
What time is it in Tokyo?,simple
When was Ada Lovelace born?,simple
What is the opposite of strong?,simple
What time is it in Berlin?,simple
Count to 10,simple
Define microservices,simple
Good morning,simple
Tell me a joke,simple
What is the population of São Paulo?,simple
Is graph theory true?,simple
Who wrote The Great Gatsby?,simple
When was Alan Turing born?,simple
What color is the sky?,simple
What is the square root of 89?,simple
What is the population of Paris?,simple
Translate 'fast' to French,simple
How are you?,simple
Where is the Sahara Desert located?,simple
Is distributed systems true?,simple
What year was the invention of the internet?,simple
What is the square root of 83?,simple
What color is the sky?,simple
How are you?,simple
Hi there,simple
When was Alan Turing born?,simple
What day is it today?,simple
What is the opposite of hot?,simple
Hi there,simple
What day is it today?,simple
How do I test a class?,simple
Good morning,simple
What time is it in Berlin?,simple
What is the square root of 74?,simple
Say hello in Spanish,simple
What color is the sky?,simple
What's the weather in Berlin?,simple
What is the population of Cairo?,simple
What year was the Renaissance?,simple
What is REST?,simple
What is OAuth 2.0?,simple
Where is the Himalayas located?,simple
How are you?,simple
Good morning,simple
Where is the Himalayas located?,simple
How tall is the Burj Khalifa?,simple
What year was the invention of the internet?,simple
Hi there,simple
What is distributed systems?,simple
What time is it in Tokyo?,simple
Count to 10,simple
Define encryption,simple
What is the population of London?,simple
How old is Guido van Rossum?,simple
How tall is the Burj Khalifa?,simple
What time is it in Sydney?,simple
What year was the Industrial Revolution?,simple
Tell me a joke,simple
What is your name?,simple
Good morning,simple
How are you?,simple
Count to 10,simple
What is the capital of Japan?,simple
When was Linus Torvalds born?,simple
What is the opposite of strong?,simple
What is the opposite of happy?,simple
Define quantum computing,simple
How tall is the Eiffel Tower?,simple
Tell me a joke,simple
What is the capital of Germany?,simple
What is your name?,simple
What is the opposite of fast?,simple
What is your name?,simple
What is the square root of 15?,simple
Count to 10,simple
What is the population of Mumbai?,simple
What day is it today?,simple
What is the population of Berlin?,simple
What is graph theory?,simple
What is the opposite of fast?,simple
How are you?,simple
What is the opposite of hot?,simple
Translate 'happy' to French,simple
What does API stand for?,simple
Define relational database,simple
Say hello in Spanish,simple
What day is it today?,simple
How old is Alan Turing?,simple
Hi there,simple
How do I compile a database?,simple
What time is it in Cairo?,simple
What day is it today?,simple
What time is it in London?,simple
What is distributed systems?,simple
How are you?,simple
Is REST true?,simple
What is your name?,simple
Count to 10,simple
Translate 'dark' to French,simple
